"filename", "language", "HTTP", "JSON", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\brock\source\repos\social\project-notes\server\README.md", "Markdown", 0, 0, 28, 0, 0, 8, 36
"c:\Users\brock\source\repos\social\project-notes\server\db\conn.js", "JavaScript", 0, 0, 0, 17, 0, 4, 21
"c:\Users\brock\source\repos\social\project-notes\server\models\contributorModel.js", "JavaScript", 0, 0, 0, 17, 1, 2, 20
"c:\Users\brock\source\repos\social\project-notes\server\package-lock.json", "JSON", 0, 3514, 0, 0, 0, 1, 3515
"c:\Users\brock\source\repos\social\project-notes\server\package.json", "JSON", 0, 19, 0, 0, 0, 1, 20
"c:\Users\brock\source\repos\social\project-notes\server\postTest.rest", "HTTP", 3, 0, 0, 0, 0, 3, 6
"c:\Users\brock\source\repos\social\project-notes\server\projectNotesTest.rest", "HTTP", 9, 0, 0, 0, 1, 3, 13
"c:\Users\brock\source\repos\social\project-notes\server\routes\project_notes.js", "JavaScript", 0, 0, 0, 31, 4, 9, 44
"c:\Users\brock\source\repos\social\project-notes\server\server.js", "JavaScript", 0, 0, 0, 13, 2, 2, 17
"Total", "-", 12, 3533, 28, 78, 8, 33, 3692
