"filename", "language", "JavaScript", "JSON", "Markdown", "HTTP", "Properties", "comment", "blank", "total"
"c:\Users\brock\source\repos\social\users\server\.env", "Properties", 0, 0, 0, 0, 2, 0, 0, 2
"c:\Users\brock\source\repos\social\users\server\README.md", "Markdown", 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\brock\source\repos\social\users\server\config\db.config.js", "JavaScript", 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\brock\source\repos\social\users\server\middleware\auth.js", "JavaScript", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\brock\source\repos\social\users\server\models\userModel.js", "JavaScript", 26, 0, 0, 0, 0, 1, 2, 29
"c:\Users\brock\source\repos\social\users\server\models\userValidator.js", "JavaScript", 18, 0, 0, 0, 0, 2, 4, 24
"c:\Users\brock\source\repos\social\users\server\package-lock.json", "JSON", 0, 5296, 0, 0, 0, 0, 1, 5297
"c:\Users\brock\source\repos\social\users\server\package.json", "JSON", 0, 32, 0, 0, 0, 0, 1, 33
"c:\Users\brock\source\repos\social\users\server\routes\user.deleteall.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\brock\source\repos\social\users\server\routes\user.editUser.js", "JavaScript", 31, 0, 0, 0, 0, 7, 8, 46
"c:\Users\brock\source\repos\social\users\server\routes\user.getAllUsers.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\brock\source\repos\social\users\server\routes\user.getuserById.js", "JavaScript", 20, 0, 0, 0, 0, 0, 5, 25
"c:\Users\brock\source\repos\social\users\server\routes\user.login.js", "JavaScript", 28, 0, 0, 0, 0, 3, 11, 42
"c:\Users\brock\source\repos\social\users\server\routes\user.publicpage.js", "JavaScript", 29, 0, 0, 0, 0, 4, 10, 43
"c:\Users\brock\source\repos\social\users\server\routes\user.signup.js", "JavaScript", 29, 0, 0, 0, 0, 4, 10, 43
"c:\Users\brock\source\repos\social\users\server\server.js", "JavaScript", 24, 0, 0, 0, 0, 0, 4, 28
"c:\Users\brock\source\repos\social\users\server\test.rest", "HTTP", 0, 0, 0, 33, 0, 6, 13, 52
"c:\Users\brock\source\repos\social\users\server\utilities\generateToken.js", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 11
"Total", "-", 245, 5328, 12, 33, 2, 27, 81, 5728
